review_id,user_id,business_id,stars,useful,funny,cool,text,date
8u04dWyZM8XZzQulA5gv1Q,zsna_iioQVRKVNn3NLUjMA,hgCpzHx5IGvLRzMdFGWl6w,3,0,0,0,"I came here for lunch today because I had some business to attend to and this was the closest eatery around that I thought would be quick in and out.  Also I love a hot bowl of noodles in the winter.  

The seating was really squishy but as expected during the lunch hour.  With a quick look around I can tell that this place is frequented by students from the nearby Seneca campus.  I guess if I was a student there, I would come here too.  It's cheap and the portions of noodles they give you is generous.  I ordered a large bowl of house special pho, but next time IF I ever go back, I will order the small.  There was plenty in the large.  Actually let me clarify, there was plenty of noodles.  The amount of meats was fine and the beef tendon was really soft which was really good. 

Now I can't really comment on the cleanliness of the place.  I don't usually venture into the back and to the washrooms in these joints.  I rather hold it in and use the washroom when I get back to the office.  However from reading the other reviews for this place, it seems like it's subpar when it comes to hygiene.  Good thing I didn't have to go today.  

So in conclusion, my bowl of pho was okay.  However had I seen the inside of the kitchen like the other people that reviewed here, I may have ran out if I saw what they saw.",2014-01-09 22:10:51
APK1Y0bogSQzK4dPwc_SjA,4FE8md9fMr_jZFNbcOmHsQ,T2tEMLpTeSMxLKpxwFdS3g,2,3,2,1,"* Hipster hangouts don't impress me in the least. And I'm sure not paying you extra for atmosphere. You can style and profile all that you want, but I want to eat some delicious food when I go to a restaurant. I do like the Goth girls, but then.....I always find stupidity amusing.
 
* Flavorless whitefish tacos. There are literally dozens of Hispanic restaurants, featuring superior fish tacos, in and around CLT. 

* Weird Cold Corn Salsa with Stale ""Cardboard"" Blue Corn Tortillas. Creative? Yes. Tasty? Mmmm, No. Give me chunky, freshly made at one's tableside, pico de gallo guacamole any day of the week and twice on Sunday. (Served with hot tortilla chips, which doesn't happen here!)

* Difficult parking. YMCA parking lot, and we're walking there.
 
* Expensive. There's no reason for fish tacos to cost this much, and to be so effing mediocre. If the fish were freshly caught that morning off the coast of Charleston, or served somewhere along the PCH, yeah, maybe I could see their prices as realistic. Here, you're just paying for the cool factor of dining in NODA, and screw that.

** Their location nets one star, and they usually have competent waitstaff, which procures the second star.
 
PS: I like Guy Fieri, but he's not always right.",2013-02-11 00:25:56
Hq6pfzXUWJeHw2DW1nZQGg,nR753IjzMrwvIWxhekK-vw,Ouh38adC9WbCRSSyYGtL3Q,3,0,0,0,"Certainly a good Mexican restaurant. I wouldn't go so far to say that it's a great restaurant. 
We came around 6pm on a Saturday and it was packed. I'm taking 20 tables and 2 servers. The Mesa arts center is across street and so this place fills up with show goers. If you just want dinner be sure to come at 7 after the audience has left- way more pleasant.",2015-04-19 03:13:45
CMA1K-cOWjk6TyurAHPtOA,M9MXoSsb193m1g0QmmUYBQ,x04vQxJuYs3p4RtxlagWQA,5,1,0,1,"For a cold, snowy-rainy Sunday night, darn this place was crowded! We stopped in last night to find they had added additional yogurt machines, so there were 8 or 9 flavors available at once. I filled up my cup and added tons of Oreo crumbs, nuts, sprinkles, and chocolate syrup. Me and my husband's total came to under $9. The same stuff at Cold Stone would have been like $15 at least, considering each topping is an additional charge!

My only small gripe is that the toppings station is always kind of messy, because they are so close together there are often crumbs of other toppings mixed into the wrong bins, and all the toppings are not labeled. They should especially be labeling the products with nuts in them. They also had a can of whipped cream just sitting on the counter, which should be sitting in ice or otherwise chilled, so I just didn't use any of that.

But all in all, the price is right and this place is great.",2011-02-21 23:34:20
Y9zoUSA7MoWsSv9-xgKGrQ,PfpRvMAESbC2bC8FUIMdNg,l6TEtn0bxJlXXVnKhwyeAw,4,0,0,0,This place had the best lobster rolls that I've found in Vegas. The rolls are tiny compared to what you would get in New England but easily accessible. I've tried both the food truck and the location in the Smith's near Rhodes ranch. Definitely better bang for your buck at the restaurant location vs the food truck. The food truck costs more and doesnt give you free tots with your orders. I ordered the lobster grilled cheese and the Connecticut at the Smith's location and both came with tots and was cheaper than the food truck where I ordered the Connecticut and it only came with the roll. All the items at both locations were tasty that I ordered. Will be coming back for my lobster roll cravings.,2018-08-26 18:00:11
3teHJTpzDiAoaIY-y_Vshg,hchTHSS03ah3c2FoUavEEQ,u-SvRRAfYgpbXZRfQgcTzA,4,0,0,0,Super good. Good atmosphere. 90$ for 2 and you will still be hungry cause portions are small.,2015-12-10 22:10:01
7ChP_XJsWGnXjhrD7dJbUA,1Ye3C434hd8ihu4ly5f-Mw,5G6tkZu1h-M08tip2V_6oA,5,0,0,0,"I love this place! Friendly staff, reasonable prices and a huge selection to choose from. I love durian and this seems to be the only place I can find it and it's fresh and delicious.",2017-05-04 19:25:47
ecU-Jd4AER_LQ9QEledrsQ,I-uSeBNZYnLrjZDOIIsLOg,4JguZ4BzTQaGHm6Aed4SNg,4,0,0,1,"lol you can never go wrong with chic-fil-a. Although their prices are a bit high for ""fast food"" their customer service always makes up for it. 

If I'm in a bind and don't know where to eat, I always go here. I rated 4 stars because of the price.",2017-10-07 16:51:18
VihQ5cLNNwokivcaX4FpMw,uDPgnEv6jZa4CSv6NX49TQ,yKFx0bW9_buGt9NASTpUaw,3,0,0,0,"I got the WOW-size regular poutine and shared with someone else. 
It's good, but the cheese curds are like pieces of rubber. I expected the cheese curds to be melty and soft....But then again, I had poutine at a poutine-specialty place in Montreal, and their curds were also like that....I hear that good cheese curds are actually supposed to taste like that. 
The location isn't great, nowhere to sit to eat, and the only place to pout your box of poutine down is the inward-facing ledge by the window, which faces a metal dumpster bin. Why...Why...why is there a dumpster bin in plain view of where I must put down my food. Even if you do takeout, it's not like there's a park or anything nearby to sit down and eat your food. Neighbourhood is pretty ghetto-y as well. 
Poutine wasn't bad, but it was mostly bad location and the dumpster bin that turned me off. I would go to another location if I was really craving poutine, because of the non-food factors that I've mentioned.",2013-07-23 00:00:53
p-KLG2w6zbkzbCA6-lmx9A,Hk7n0zKhcrRwkvqgb_MQ3Q,tWdp26XQEJqJGnRmFVJQxA,4,1,0,0,"Came here for a lunch for a table of 6, on a wednesday around 1pm and luckily there was no wait. Tucked inside an office building, with a coca cola-isque sign on side on the outside, it can be hard to find. 

Got a caprese salad to start, the balsamic dressing was really good and the cheese, tomatoes and arugula felt fresh. Then got the Commendatore pasta ($19), it came with spiral pasta ( I do wish they tell you want type of pasta on the menu) It was delicious a mix of ground sausage with lots of pistachios in a cream sauce, it wasn't overly salty and just really hit the spot. The portion was large. You can also ask for a bunch of hot sauces and chili flakes which made it even better.

Would definitely come back to try their other pastas and I really want to try their pizza!

fyi - Sparkling water is $2.50 per person and bread is an extra $2",2015-12-09 22:00:50
OIs85Y1RjkWMzxUxJSEU5g,3DltS5Wr9MOntnc8StBFBA,jppxrDQLXr4Nk8cV7IGlcw,4,0,0,0,"Ok, so I have been back twice. One time the service was super slow, and the other it was not. Both times the food was great and the horchata was amazing (and freshly made). I would like to go back again and have good service to give this place 5 stars, because the food is there, but I'm just not sure the service is yet.",2013-10-30 19:47:51
